temperature	V(vee)	V(n001)
-1.000000000000000e+002	-5.000000e+000	-4.196851e+000
-9.500000000000000e+001	-5.000000e+000	-4.207008e+000
-9.000000000000000e+001	-5.000000e+000	-4.217199e+000
-8.500000000000000e+001	-5.000000e+000	-4.227426e+000
-8.000000000000000e+001	-5.000000e+000	-4.237685e+000
-7.500000000000000e+001	-5.000000e+000	-4.247978e+000
-7.000000000000000e+001	-5.000000e+000	-4.258302e+000
-6.500000000000000e+001	-5.000000e+000	-4.268656e+000
-6.000000000000000e+001	-5.000000e+000	-4.279041e+000
-5.500000000000000e+001	-5.000000e+000	-4.289456e+000
-5.000000000000000e+001	-5.000000e+000	-4.299899e+000
-4.500000000000000e+001	-5.000000e+000	-4.310370e+000
-4.000000000000000e+001	-5.000000e+000	-4.320868e+000
-3.500000000000000e+001	-5.000000e+000	-4.331394e+000
-3.000000000000000e+001	-5.000000e+000	-4.341946e+000
-2.500000000000000e+001	-5.000000e+000	-4.352523e+000
-2.000000000000000e+001	-5.000000e+000	-4.363125e+000
-1.500000000000000e+001	-5.000000e+000	-4.373752e+000
-1.000000000000000e+001	-5.000000e+000	-4.384403e+000
-5.000000000000000e+000	-5.000000e+000	-4.395078e+000
0.000000000000000e+000	-5.000000e+000	-4.405776e+000
5.000000000000000e+000	-5.000000e+000	-4.416497e+000
1.000000000000000e+001	-5.000000e+000	-4.427239e+000
1.500000000000000e+001	-5.000000e+000	-4.438004e+000
2.000000000000000e+001	-5.000000e+000	-4.448791e+000
2.500000000000000e+001	-5.000000e+000	-4.459599e+000
3.000000000000000e+001	-5.000000e+000	-4.470427e+000
3.500000000000000e+001	-5.000000e+000	-4.481275e+000
4.000000000000000e+001	-5.000000e+000	-4.492144e+000
4.500000000000000e+001	-5.000000e+000	-4.503032e+000
5.000000000000000e+001	-5.000000e+000	-4.513940e+000
5.500000000000000e+001	-5.000000e+000	-4.524867e+000
6.000000000000000e+001	-5.000000e+000	-4.535813e+000
6.500000000000000e+001	-5.000000e+000	-4.546777e+000
7.000000000000000e+001	-5.000000e+000	-4.557759e+000
7.500000000000000e+001	-5.000000e+000	-4.568759e+000
8.000000000000000e+001	-5.000000e+000	-4.579777e+000
8.500000000000000e+001	-5.000000e+000	-4.590813e+000
9.000000000000000e+001	-5.000000e+000	-4.601865e+000
9.500000000000000e+001	-5.000000e+000	-4.612934e+000
1.000000000000000e+002	-5.000000e+000	-4.624020e+000
